YYYY,MM,DD,Q(mm/d),TMean(C),Precip(mm/day)
2016,1,1,0.343,-0.1,3.2
2016,1,2,0.925,2.8,3.6
2016,1,3,3.072,4.5,0
2016,1,4,2.937,-0.9,1.5
2016,1,5,2.264,-7.5,3.6
2016,1,6,1.739,-10,3.6
2016,1,7,1.33,-11,2.5
2016,1,8,1.011,-9.6,1.3
2016,1,9,0.762,-30.8,0
2016,1,10,0.568,-14.3,1.2
2016,1,11,0.416,-7.7,8.7
2016,1,12,0.345,-2.8,3.1
2016,1,13,0.345,-12.5,0.7
2016,1,14,0.345,-24,6.5
2016,1,15,0.345,-20.1,0
2016,1,16,0.345,-24.4,0
2016,1,17,0.345,-10.1,3.3
2016,1,18,0.345,-6,2.7
2016,1,19,0.346,-9.3,1.5
2016,1,20,0.346,-12,0.3
2016,1,21,0.346,-8.8,7.2
2016,1,22,0.346,-14.8,6.5
2016,1,23,0.346,-17.7,1.5
2016,1,24,0.346,-15.4,0.4
2016,1,25,0.346,-19.5,0
2016,1,26,0.346,-6.4,3.5
2016,1,27,0.347,-7.6,6.7
2016,1,28,0.347,-7,3.9
2016,1,29,0.347,-7.2,1.1
2016,1,30,0.347,-14.1,9
2016,1,31,0.347,-12.5,2.8
2016,2,1,0.347,-9.6,0
2016,2,2,0.347,-5.7,2.8
2016,2,3,0.347,-1.1,3.4
2016,2,4,0.67,-9,0.6
2016,2,5,0.497,-13.7,3.1
2016,2,6,0.362,-3.2,1.9
2016,2,7,0.348,-4.2,0.1
2016,2,8,0.348,-8,0
2016,2,9,0.348,-2,0.5
2016,2,10,0.348,-4.1,2.4
2016,2,11,0.348,-3.5,0.2
2016,2,12,0.348,-2.8,0.4
2016,2,13,0.349,-4.9,0
2016,2,14,0.349,-5.3,0.7
2016,2,15,0.349,-23.8,0
2016,2,16,0.349,-13,0
2016,2,17,0.349,-13.3,0
2016,2,18,0.349,-11,0
2016,2,19,0.349,-2.7,0.9
2016,2,20,0.349,0.3,11.8
2016,2,21,1.606,-0.8,1.1
2016,2,22,1.227,-2.1,0
2016,2,23,0.932,-2.8,0.7
2016,2,24,0.701,-4.3,0
2016,2,25,0.522,-4.7,0
2016,2,26,0.382,-6.6,0
2016,2,27,0.35,-3.2,0
2016,2,28,0.35,-2.9,0
2016,2,29,0.35,1.2,0
2016,3,1,1.597,2.2,2.8
2016,3,2,3.129,2.9,0.3
2016,3,3,4.822,2.6,0.6
2016,3,4,5.367,3.2,12.4
2016,3,5,6.895,12,16.8
2016,3,6,9.068,-0.6,0.2
2016,3,7,7.069,-0.3,3.9
2016,3,8,6.295,-3.2,0.1
2016,3,9,4.885,-5.4,0
2016,3,10,3.786,-1.8,0
2016,3,11,2.928,-0.1,3.1
2016,3,12,2.648,-6.5,2.5
2016,3,13,2.04,-7.3,0
2016,3,14,1.567,-2.7,2
2016,3,15,1.197,-2.4,0
2016,3,16,0.909,-6.7,6.7
2016,3,17,0.684,-8.8,0.6
2016,3,18,0.509,-6.9,0
2016,3,19,0.372,-3.9,1.5
2016,3,20,0.353,1.2,6.6
2016,3,21,2.43,-3,0.3
2016,3,22,1.871,-3.6,0.2
2016,3,23,1.435,-2.2,2.1
2016,3,24,1.095,1.3,1.9
2016,3,25,2.949,13.8,11.5
2016,3,26,3.241,10.9,3.7
2016,3,27,2.974,9.2,0
2016,3,28,2.295,10,0
2016,3,29,1.766,8.6,13
2016,3,30,2.965,8.6,20.3
2016,3,31,3.972,2.6,1.2
2016,4,1,3.293,2.5,2
2016,4,2,2.831,6.7,1.1
2016,4,3,2.284,5.2,1
2016,4,4,1.881,-2.6,0
2016,4,5,1.443,-3.6,0
2016,4,6,1.101,-0.9,1.5
2016,4,7,1.057,4,0
2016,4,8,0.801,4.5,0
2016,4,9,0.6,5.1,0
2016,4,10,0.444,3,0
2016,4,11,0.355,2.4,0
2016,4,12,0.355,2,1.6
2016,4,13,0.558,2.7,0.5
2016,4,14,0.454,6.6,0
2016,4,15,0.356,6.8,0
2016,4,16,0.356,13.6,1.4
2016,4,17,0.366,8.2,3.5
2016,4,18,0.756,14.7,13.3
2016,4,19,1.749,19.5,1.6
2016,4,20,1.475,9.4,5
2016,4,21,1.44,6.6,5
2016,4,22,1.84,8.2,0
2016,4,23,1.411,14.5,0
2016,4,24,1.077,8,0.7
2016,4,25,0.869,5.4,4.2
2016,4,26,1.086,8.3,3.7
2016,4,27,1.159,1,0.1
2016,4,28,0.892,3.9,0.9
2016,4,29,0.761,9.3,0
2016,4,30,0.57,15.9,5.3
2016,5,1,0.841,10.1,9.6
2016,5,2,1.561,7.3,11.7
2016,5,3,1.793,2.8,0
2016,5,4,1.375,5,7.2
2016,5,5,1.609,3.8,0
2016,5,6,1.231,8.6,1.3
2016,5,7,1.07,5.6,0
2016,5,8,0.811,3,11.4
2016,5,9,2.045,8.7,5.7
2016,5,10,2.083,16.4,4.6
2016,5,11,1.971,27.1,0
2016,5,12,1.514,17.6,0
2016,5,13,1.158,14.3,1.6
2016,5,14,1.04,28.3,7.5
2016,5,15,1.13,4.5,0.1
2016,5,16,0.865,8.4,0
2016,5,17,0.651,16.7,1.1
2016,5,18,0.537,24.5,0.9
2016,5,19,0.43,11.3,0
2016,5,20,0.359,8.2,0.5
2016,5,21,0.359,18.4,2.9
2016,5,22,0.376,17,33.8
