Days,Effective Precipitation (mm/day),Evapotranspiration (mm/day),Actual Evapotranspiration (mm/day),Storage (mm),Runoff (mm/day),Runoff in Area (m^3/day)
1,3.200000,0.000000,nan,332.000000,nan,nan
2,3.600000,3.276000,1.397839,335.992695,0.332000,343387.600000
3,0.000000,5.265000,2.363274,340.061890,1.283101,1327111.208621
4,1.500000,0.000000,0.000000,338.868271,2.152409,2226236.610913
5,0.000000,0.000000,0.000000,337.004347,1.863924,1927856.650704
6,0.000000,0.000000,0.000000,335.576349,1.427998,1476978.185426
7,0.000000,0.000000,0.000000,334.488348,1.088001,1125319.732512
8,0.000000,0.000000,0.000000,333.665518,0.822830,851052.862490
9,0.000000,0.000000,0.000000,333.049496,0.616022,637151.400403
10,0.000000,0.000000,0.000000,332.611349,0.454737,470334.929806
11,0.000000,0.000000,0.000000,332.278738,0.332611,344019.918604
12,0.000000,0.000000,0.000000,331.946459,0.332279,343675.898685
13,0.000000,0.000000,0.000000,331.614513,0.331946,343332.222787
14,0.000000,0.000000,0.000000,331.282898,0.331615,342988.890564
15,0.000000,0.000000,0.000000,330.951615,0.331283,342645.901673
16,0.000000,0.000000,0.000000,330.620664,0.330952,342303.255772
17,0.000000,0.000000,0.000000,330.290043,0.330621,341960.952516
18,0.000000,0.000000,0.000000,329.959753,0.330290,341618.991563
19,0.000000,0.000000,0.000000,329.629793,0.329960,341277.372572
20,0.000000,0.000000,0.000000,329.300163,0.329630,340936.095199
21,0.000000,0.000000,0.000000,328.970863,0.329300,340595.159104
22,0.000000,0.000000,0.000000,328.641892,0.328971,340254.563945
23,0.000000,0.000000,0.000000,328.313251,0.328642,339914.309381
24,0.000000,0.000000,0.000000,327.984937,0.328313,339574.395072
25,0.000000,0.000000,0.000000,327.656952,0.327985,339234.820677
26,0.000000,0.000000,0.000000,327.329295,0.327657,338895.585856
27,0.000000,0.000000,0.000000,327.001966,0.327329,338556.690270
28,0.000000,0.000000,0.000000,326.674964,0.327002,338218.133580
29,0.000000,0.000000,0.000000,326.348289,0.326675,337879.915446
30,0.000000,0.000000,0.000000,326.021941,0.326348,337542.035531
31,0.000000,0.000000,0.000000,325.695919,0.326022,337204.493495
32,0.000000,0.000000,0.000000,325.370223,0.325696,336867.289002
33,0.000000,0.000000,0.000000,325.044853,0.325370,336530.421713
34,3.400000,0.000000,0.000000,325.730658,0.325045,336193.891291
35,0.000000,0.000000,0.000000,325.183551,0.547107,565872.583732
36,0.000000,0.000000,0.000000,324.858706,0.399307,413003.186041
37,0.000000,0.000000,0.000000,324.533847,0.324859,336001.359752
38,0.000000,0.000000,0.000000,324.209314,0.324534,335665.358392
39,0.000000,0.000000,0.000000,323.885104,0.324209,335329.693034
40,0.000000,0.000000,0.000000,323.561219,0.323885,334994.363341
41,0.000000,0.000000,0.000000,323.237658,0.323561,334659.368977
42,0.000000,0.000000,0.000000,322.914420,0.323238,334324.709608
43,0.000000,0.000000,0.000000,322.591506,0.322914,333990.384899
44,0.000000,0.000000,0.000000,322.268914,0.322592,333656.394514
45,0.000000,0.000000,0.000000,321.946645,0.322269,333322.738119
46,0.000000,0.000000,0.000000,321.624699,0.321947,332989.415381
47,0.000000,0.000000,0.000000,321.303074,0.321625,332656.425966
48,0.000000,0.000000,0.000000,320.981771,0.321303,332323.769540
49,0.000000,0.000000,0.000000,320.660789,0.320982,331991.445770
50,0.000000,0.000000,0.000000,320.340128,0.320661,331659.454325
51,11.800000,0.351000,0.168728,325.505061,0.320340,331327.794870
52,1.100000,0.000000,0.000000,324.963297,1.526780,1579148.344761
53,0.000000,0.000000,0.000000,323.584171,1.379126,1426430.161835
54,0.000000,0.000000,0.000000,322.536890,1.047281,1083202.929559
55,0.000000,0.000000,0.000000,321.748420,0.788471,815515.100981
56,0.000000,0.000000,0.000000,321.161793,0.586627,606747.977874
57,0.000000,0.000000,0.000000,320.797723,0.429217,443938.975652
58,0.000000,0.000000,0.000000,320.476925,0.320798,331801.084382
59,0.000000,0.000000,0.000000,320.156448,0.320477,331469.283297
60,0.000000,1.404000,0.717480,322.039989,0.320156,331137.814014
61,2.800000,2.574000,1.338392,326.109984,0.804650,832249.321423
62,0.300000,3.393000,1.817865,329.207591,1.671543,1728876.753552
63,0.600000,3.042000,1.669986,331.559734,2.324539,2404270.588310
64,12.400000,3.744000,2.102246,339.279184,2.813562,2910066.706137
65,16.800000,14.040000,8.319285,358.585211,4.483420,4637201.443079
66,0.200000,0.000000,0.000000,350.960809,8.702354,9000844.843097
67,3.900000,0.000000,0.000000,347.280834,6.996622,7236606.206613
68,0.000000,0.000000,0.000000,341.122142,6.158692,6369935.582476
69,0.000000,0.000000,0.000000,336.346669,4.775473,4939271.918515
70,0.000000,0.000000,0.000000,332.650078,3.696590,3823383.538461
71,3.100000,0.000000,0.000000,333.024206,2.855090,2953019.850577
72,0.000000,0.000000,0.000000,330.115029,2.909176,3008960.914950
73,0.000000,0.000000,0.000000,327.874066,2.240964,2317828.613638
74,0.000000,0.000000,0.000000,326.154280,1.719786,1778774.579514
75,0.000000,0.000000,0.000000,324.840984,1.313296,1358341.564637
76,0.000000,0.000000,0.000000,323.844723,0.996261,1030432.915640
77,0.000000,0.000000,0.000000,323.095721,0.749002,774693.242927
78,0.000000,0.000000,0.000000,322.539552,0.556169,575245.342643
79,0.000000,0.000000,0.000000,322.217393,0.405787,419704.995808
80,6.600000,1.404000,0.934619,328.271613,0.322217,333269.449200
81,0.000000,0.000000,0.000000,326.546901,1.724711,1783868.989276
82,0.000000,0.000000,0.000000,325.229681,1.317220,1362400.570001
83,0.000000,0.000000,0.000000,324.230277,0.999405,1033684.220208
84,1.900000,1.521000,1.034848,328.150436,0.751537,777314.455594
85,11.500000,16.146000,11.122619,334.762897,1.586001,1640400.655297
86,3.700000,12.753000,8.660277,333.672286,3.012800,3116138.537670
87,0.000000,10.764000,7.116845,330.927336,2.744950,2839101.907361
88,0.000000,11.700000,7.519059,328.814162,2.113174,2185655.914878
89,13.000000,10.062000,6.269549,333.385254,1.620417,1675996.884314
